"clst_id","x1","x2","x3","bld","total","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12","total2","fage_1","fage_2","fage_3","fage_4","fage_5","fage_6","fage_7","fage_8","fage_9","fage_10","fage_11","fage_12","mage_1","mage_2","mage_3","mage_4","mage_5","mage_6","mage_7","mage_8","mage_9","mage_10","mage_11","mage_12","lon","lat"
14,0.480168033268672,0.488111375420222,0.500092238451069,254,17453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.9833333333335
15,0.490350743352732,0.43055528636595,0.336813779172486,229,14973,1084,1081,2171,2143,1609,2181,1644,1031,741,529,369,390,14973,586,531,1076,1175,864,1221,914,514,397,260,198,202,498,550,1095,968,745,960,730,517,344,269,171,188,0.4833333333335,0.9833333333335
16,0.527186842901975,0.53212011045534,0.44586080134602,271,18971,1365,1367,2746,2760,2015,2779,2058,1405,885,663,475,453,18971,706,684,1455,1345,1115,1463,1093,767,452,361,256,232,659,683,1291,1415,900,1316,965,638,433,302,219,221,0.5166666666665,0.9833333333335
17,0.488496438466362,0.476830770868925,0.509548373593581,289,26433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.9833333333335
18,0.518224231803589,0.484333150609918,0.395250975809519,241,23066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5833333333335,0.9833333333335
19,0.54186736653397,0.440960363828051,0.524436521427541,300,24785,1750,1732,3627,3567,2685,3683,2617,1812,1205,866,633,608,24785,875,907,1928,1751,1348,2014,1355,987,655,446,352,307,875,825,1699,1816,1337,1669,1262,825,550,420,281,301,0.6166666666665,0.9833333333335
20,0.496906844164092,0.428831099920056,0.531578873019767,276,26194,1974,1867,3777,3768,2814,3703,2870,1964,1287,933,590,647,26194,1041,950,1998,2072,1589,1880,1569,1013,675,485,323,341,933,917,1779,1696,1225,1823,1301,951,612,448,267,306,0.65,0.9833333333335
21,0.449180328400123,0.50386346619258,0.466031980457421,250,18010,1241,1316,2501,2705,2006,2629,1918,1289,857,659,443,446,18010,633,726,1322,1355,1071,1424,1056,680,447,330,227,238,608,590,1179,1350,935,1205,862,609,410,329,216,208,0.6833333333335,0.9833333333335
22,0.543955475993348,0.512811222778427,0.556909115758352,260,14002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7166666666665,0.9833333333335
23,0.512461052528211,0.439419578666459,0.441940817808894,226,7627,564,542,1134,1078,852,1076,810,531,396,267,181,196,7627,305,294,576,567,480,601,437,281,210,137,93,110,259,248,558,511,372,475,373,250,186,130,88,86,0.75,0.9833333333335
24,0.45389534991712,0.458008902481795,0.510917151625197,261,8092,569,583,1278,1184,878,1139,860,584,399,241,186,191,8092,307,329,669,622,483,566,454,317,198,123,99,98,262,254,609,562,395,573,406,267,201,118,87,93,0.7833333333335,0.9833333333335
25,0.497128740987732,0.501371747802708,0.336079374440709,211,7779,575,509,1158,1056,849,1142,867,566,379,296,184,198,7779,295,265,583,550,460,591,439,286,199,159,96,108,280,244,575,506,389,551,428,280,180,137,88,90,0.8166666666665,0.9833333333335
26,0.500587864309611,0.478454513240378,0.453064309612823,265,10776,790,760,1537,1607,1155,1576,1117,761,499,420,285,269,10776,414,426,833,850,642,824,591,406,238,209,150,135,376,334,704,757,513,752,526,355,261,211,135,134,0.85,0.9833333333335
27,0.435468381333436,0.523104537680248,0.451684519787661,225,11714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8833333333335,0.9833333333335
28,0.476494846184934,0.518440895302869,0.411277651804241,241,12772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9166666666665,0.9833333333335
29,0.502397229609311,0.409984799352881,0.546176128324178,237,14912,1129,1072,2115,2228,1591,2135,1588,1092,732,516,352,362,14912,613,542,1125,1229,869,1115,810,523,400,275,182,189,516,530,990,999,722,1020,778,569,332,241,170,173,0.95,0.9833333333335
30,0.493614998806039,0.469982081831705,0.518045849851842,238,17765,1342,1219,2630,2569,1956,2559,1911,1269,837,614,441,418,17765,665,658,1411,1279,1022,1342,1054,654,469,312,229,214,677,561,1219,1290,934,1217,857,615,368,302,212,204,0.9833333333335,0.9833333333335
31,0.567910578107065,0.441871709650914,0.515404708759268,265,3695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166666666665,0.95
32,0.463701303652065,0.427983923480929,0.486537179479566,231,1995,153,146,271,291,215,306,207,162,84,73,36,51,1995,84,77,138,144,111,169,120,87,41,36,19,28,69,69,133,147,104,137,87,75,43,37,17,23,0.05,0.95
33,0.512730948282802,0.431574127592653,0.558030602002779,245,2275,135,164,348,320,236,337,259,179,106,86,49,56,2275,68,87,175,173,121,168,134,91,51,43,27,31,67,77,173,147,115,169,125,88,55,43,22,25,0.0833333333335,0.95
34,0.469167956792648,0.432434039816191,0.466310639708098,223,1742,138,140,234,240,192,236,205,129,92,50,43,43,1742,71,77,123,128,95,121,108,62,48,29,22,24,67,63,111,112,97,115,97,67,44,21,21,19,0.1166666666665,0.95
35,0.431225923440809,0.478376864704379,0.569302507308403,237,2278,165,164,329,328,247,346,219,181,107,92,59,41,2278,87,79,167,170,126,170,119,90,60,48,30,22,78,85,162,158,121,176,100,91,47,44,29,19,0.15,0.95
36,0.474324725323729,0.449937938041014,0.735733233532334,292,3855,270,276,558,571,389,573,424,286,184,133,83,108,3855,141,144,284,303,202,302,237,158,94,74,41,55,129,132,274,268,187,271,187,128,90,59,42,53,0.1833333333335,0.95
37,0.457058194280401,0.472281999699489,0.466754550382008,263,2354,169,161,343,347,256,361,257,170,102,79,61,48,2354,83,89,173,180,132,184,129,88,57,43,33,25,86,72,170,167,124,177,128,82,45,36,28,23,0.2166666666665,0.95
38,0.516184430831721,0.451298799613612,0.525526736341575,279,4282,314,332,604,618,482,593,436,308,207,162,119,107,4282,171,166,320,326,251,325,205,171,111,88,61,60,143,166,284,292,231,268,231,137,96,74,58,47,0.25,0.95
39,0.503035877673635,0.476140369842315,0.524487570255231,223,4935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2833333333335,0.95
40,0.504111342949666,0.492978177505675,0.628173365729293,293,7545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3166666666665,0.95
41,0.436602412510043,0.466291089857077,0.547745886274985,233,10477,794,707,1528,1529,1114,1513,1157,709,514,394,266,252,10477,453,378,807,813,620,781,594,373,285,216,137,140,341,329,721,716,494,732,563,336,229,178,129,112,0.35,0.95
42,0.529457943344982,0.528455611707095,0.462393523243278,250,11049,769,843,1605,1595,1177,1650,1201,807,549,359,270,224,11049,376,421,815,825,600,861,640,437,278,185,143,111,393,422,790,770,577,789,561,370,271,174,127,113,0.3833333333335,0.95
43,0.487255312018647,0.46387319749897,0.511667079007901,244,11354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4166666666665,0.95
44,0.48834128431682,0.466485651241058,0.515210754876177,263,15139,1094,1128,2233,2188,1604,2123,1685,1113,677,535,353,406,15139,573,575,1246,1093,843,1168,874,561,377,291,198,225,521,553,987,1095,761,955,811,552,300,244,155,181,0.45,0.95
45,0.4737319260309,0.448731474159451,0.516932240135307,266,17854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4833333333335,0.95
46,0.413939844931137,0.49207397772007,0.406699776333105,228,15697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5166666666665,0.95
47,0.497826936975195,0.449229788955352,0.464598762037699,237,27227,1962,2000,3833,3971,2937,3912,2989,1958,1270,999,712,684,27227,1064,1046,2142,2153,1545,2115,1555,1014,608,528,372,351,898,954,1691,1818,1392,1797,1434,944,662,471,340,333,0.55,0.95
48,0.519767116932039,0.384387517907611,0.575815134840081,254,42454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5833333333335,0.95
49,0.505365359335999,0.455660846034317,0.562503995505327,260,34250,2419,2487,4978,4949,3738,5040,3714,2392,1633,1246,833,821,34250,1296,1339,2584,2674,1990,2591,1930,1240,887,616,458,427,1123,1148,2394,2275,1748,2449,1784,1152,746,630,375,394,0.6166666666665,0.95
50,0.498877483882881,0.430926808227509,0.529424654032143,261,26083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.95
51,0.500801462220948,0.431014292480553,0.649708151988655,273,21930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6833333333335,0.95
52,0.489328829023643,0.424897147367442,0.416591950234971,203,11727,865,881,1733,1631,1286,1712,1260,812,599,408,262,278,11727,467,484,925,913,678,982,650,438,338,211,147,156,398,397,808,718,608,730,610,374,261,197,115,122,0.7166666666665,0.95
53,0.504851090208221,0.404658996450578,0.507055617826395,224,7686,558,558,1054,1127,838,1100,857,562,379,275,198,180,7686,269,280,572,605,444,557,456,308,197,154,95,88,289,278,482,522,394,543,401,254,182,121,103,92,0.75,0.95
54,0.496270716235337,0.421652759569437,0.493044109866209,234,8782,607,652,1321,1282,928,1286,890,678,408,309,211,210,8782,333,353,741,637,511,668,486,348,216,159,110,108,274,299,580,645,417,618,404,330,192,150,101,102,0.7833333333335,0.95
55,0.467021220428904,0.438573154039687,0.481015417367635,282,8601,646,625,1242,1270,885,1251,975,599,414,290,203,201,8601,328,317,690,649,500,673,509,314,223,152,109,102,318,308,552,621,385,578,466,285,191,138,94,99,0.8166666666665,0.95
56,0.482750659041657,0.48609104086856,0.409635493863936,212,9071,647,657,1405,1289,1008,1349,931,632,420,322,206,205,9071,333,333,807,705,549,664,530,330,213,169,111,105,314,324,598,584,459,685,401,302,207,153,95,100,0.85,0.95
57,0.47194507690586,0.464217127824889,0.480722491916408,250,13636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8833333333335,0.95
58,0.527659787897528,0.492275515999444,0.493528373545771,248,16979,1293,1199,2488,2448,1836,2454,1801,1239,778,622,412,409,16979,693,602,1280,1234,984,1268,1028,645,409,306,208,215,600,597,1208,1214,852,1186,773,594,369,316,204,194,0.9166666666665,0.95
59,0.460106257973932,0.445374534033644,0.360141987706019,208,10606,765,806,1532,1541,1098,1537,1182,762,491,390,264,238,10606,375,418,774,810,595,802,607,396,264,201,142,129,390,388,758,731,503,735,575,366,227,189,122,109,0.95,0.95
60,0.469919888182874,0.482897710463936,0.621964538464693,307,23091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9833333333335,0.95
61,0.456618557917073,0.474815903006397,0.50321716165248,226,3614,254,278,541,501,392,552,378,247,175,127,72,97,3614,131,153,275,286,214,290,203,120,95,65,34,54,123,125,266,215,178,262,175,127,80,62,38,43,0.0166666666665,0.9166666666665
62,0.468101312784737,0.459607561986138,0.474177293061629,224,2161,153,137,309,314,254,320,235,150,111,80,51,47,2161,83,72,166,161,126,168,124,77,61,42,27,25,70,65,143,153,128,152,111,73,50,38,24,22,0.05,0.9166666666665
63,0.483520625351216,0.446091932916234,0.518251837412937,218,2258,142,166,318,327,238,348,253,161,112,83,57,53,2258,75,87,162,173,126,185,129,81,60,44,35,32,67,79,156,154,112,163,124,80,52,39,22,21,0.0833333333335,0.9166666666665
64,0.473431002029036,0.473479497237982,0.46608845007044,233,2558,179,186,350,344,308,381,280,198,125,92,71,44,2558,93,91,179,192,155,195,147,111,66,54,35,23,86,95,171,152,153,186,133,87,59,38,36,21,0.1166666666665,0.9166666666665
65,0.46949373040398,0.473775958938463,0.613719150421968,242,3188,230,226,458,449,337,457,373,235,133,129,79,82,3188,119,118,234,238,175,237,190,128,72,70,43,43,111,108,224,211,162,220,183,107,61,59,36,39,0.15,0.9166666666665
66,0.475029804632288,0.430480805138977,0.413579365049288,217,2653,188,216,390,358,294,393,289,207,125,96,48,49,2653,101,108,203,198,166,208,166,109,71,44,24,23,87,108,187,160,128,185,123,98,54,52,24,26,0.1833333333335,0.9166666666665
67,0.470784804168199,0.421138010137016,0.549941782145304,234,3399,237,267,486,537,361,463,342,243,167,128,79,89,3399,122,140,240,302,185,242,177,123,89,69,40,45,115,127,246,235,176,221,165,120,78,59,39,44,0.2166666666665,0.9166666666665
68,0.506584018861059,0.455872020647533,0.749552678821564,256,7615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.9166666666665
69,0.479402599258584,0.517483712848981,0.527526790073553,249,10110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2833333333335,0.9166666666665
70,0.495698127520449,0.402745454311517,0.527332409680362,239,9572,724,691,1366,1309,1036,1356,1076,698,470,368,245,233,9572,378,346,724,703,575,635,583,369,241,184,125,121,346,345,642,606,461,721,493,329,229,184,120,112,0.3166666666665,0.9166666666665
71,0.462820199625452,0.443541180243551,0.474131019226385,210,11203,840,809,1574,1628,1198,1595,1263,810,529,440,255,262,11203,423,424,883,852,615,793,643,448,271,233,123,133,417,385,691,776,583,802,620,362,258,207,132,129,0.35,0.9166666666665
72,0.527793114132006,0.483516341252556,0.50219745606196,272,14972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3833333333335,0.9166666666665
73,0.474940094104491,0.511771659181233,0.467614223988496,243,14237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4166666666665,0.9166666666665
74,0.502840751487014,0.426279863925033,0.501106531027949,250,15371,1086,1088,2172,2278,1763,2231,1637,1109,704,540,392,371,15371,526,584,1253,1262,931,1220,850,583,352,285,206,193,560,504,919,1016,832,1011,787,526,352,255,186,178,0.45,0.9166666666665
75,0.462590100401131,0.475636988290423,0.542500370914724,284,21291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4833333333335,0.9166666666665
76,0.485669109795671,0.429384362265378,0.441617322864319,218,17074,1265,1239,2485,2429,1854,2458,1919,1225,806,574,428,392,17074,674,597,1256,1292,896,1353,1011,630,407,276,235,191,591,642,1229,1137,958,1105,908,595,399,298,193,201,0.5166666666665,0.9166666666665
77,0.488591275371358,0.487981206637893,0.540903327373437,248,26589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.9166666666665
78,0.462249871529373,0.42617982506718,0.564803254334366,270,42070,2942,3059,6131,6090,4644,6108,4522,3083,1975,1509,992,1015,42070,1483,1598,3115,3253,2426,3418,2498,1651,968,778,504,503,1459,1461,3016,2837,2218,2690,2024,1432,1007,731,488,512,0.5833333333335,0.9166666666665
79,0.492537581553475,0.448330743490777,0.595782329871722,276,58612,4203,4205,8549,8458,6420,8500,6411,4206,2797,2164,1350,1349,58612,2144,2319,4614,4515,3500,4404,3229,2190,1527,1122,700,721,2059,1886,3935,3943,2920,4096,3182,2016,1270,1042,650,628,0.6166666666665,0.9166666666665
80,0.500326343299828,0.528377983439994,0.590546734162694,313,44087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.9166666666665
81,0.436200119040189,0.454865874191027,0.477592723141581,246,21098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6833333333335,0.9166666666665
82,0.483625489295933,0.433999894556846,0.548826536951913,243,17563,1255,1318,2502,2602,1923,2454,1916,1326,860,602,389,416,17563,607,734,1262,1412,998,1320,1052,655,457,331,203,223,648,584,1240,1190,925,1134,864,671,403,271,186,193,0.7166666666665,0.9166666666665
83,0.455195436327457,0.471777016949092,0.435935334416027,228,9828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.9166666666665
84,0.478475715587724,0.408377356097277,0.559470677039233,229,10364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7833333333335,0.9166666666665
85,0.44147265390034,0.414501651883423,0.486534557119316,219,8881,646,666,1254,1311,945,1282,980,608,403,325,207,254,8881,335,350,680,655,495,702,526,314,205,176,113,130,311,316,574,656,450,580,454,294,198,149,94,124,0.8166666666665,0.9166666666665
86,0.496479072710419,0.414164137398686,0.445453868474494,247,9076,645,679,1328,1302,1010,1347,956,648,421,307,208,225,9076,323,353,704,725,556,693,506,329,214,167,107,124,322,326,624,577,454,654,450,319,207,140,101,101,0.85,0.9166666666665
87,0.476414196113456,0.451612382950062,0.527052490900034,250,16586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8833333333335,0.9166666666665
88,0.463837796738479,0.45355401531242,0.367272497045922,214,14372,1039,1033,2069,2112,1605,2033,1542,1028,716,512,328,355,14372,555,567,1179,1066,843,1086,844,566,380,269,167,184,484,466,890,1046,762,947,698,462,336,243,161,171,0.9166666666665,0.9166666666665
89,0.488040414860085,0.462996310487803,0.559531076746411,256,18676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.9166666666665
90,0.449008971333068,0.419278587307575,0.450998496244459,222,22139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9833333333335,0.9166666666665
91,0.439044411061467,0.457808144365776,0.527078084247264,236,4461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166666666665,0.8833333333335
92,0.469020950439083,0.521966237576183,0.499796475851492,251,3852,263,290,551,561,440,564,435,261,192,123,80,92,3852,145,157,264,299,223,284,218,150,93,64,43,45,118,133,287,262,217,280,217,111,99,59,37,47,0.05,0.8833333333335
93,0.446009167221646,0.418732786170186,0.406030812916043,213,2153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333335,0.8833333333335
94,0.475823008673737,0.506740153998487,0.5987153271185,284,3617,255,270,503,540,387,519,406,241,180,142,90,84,3617,130,143,242,270,196,298,211,128,98,71,47,41,125,127,261,270,191,221,195,113,82,71,43,43,0.1166666666665,0.8833333333335
95,0.481948360917462,0.492736802951368,0.55434216927623,236,3366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.8833333333335
96,0.512349272118643,0.46444014850869,0.461436211107522,228,2998,210,220,398,403,350,444,333,228,150,117,88,57,2998,111,117,218,206,197,236,181,118,83,59,46,29,99,103,180,197,153,208,152,110,67,58,42,28,0.1833333333335,0.8833333333335
97,0.48983246441044,0.498573412150165,0.374542695818038,215,3552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2166666666665,0.8833333333335
98,0.505514332928096,0.490204231594055,0.425249166760767,229,7137,501,511,1058,1041,729,1067,754,488,348,261,187,192,7137,262,247,544,521,394,567,387,238,184,137,94,108,239,264,514,520,335,500,367,250,164,124,93,84,0.25,0.8833333333335
